sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Apache Cordova,0.7916666666666666,0.03941831155432414,12,2,5,0.013020833333333332,0.0015238561820511629
Computer hardware,0.7373046875,0.06330703644480012,256,3,5,0.049479166666666664,0.04357529410487808
Markup language,0.5643939393939394,0.014421148854991583,132,3,5,0.0234375,0.004039792302172203
X86,0.6691176470588235,0.003159675768072403,34,3,5,0.010416666666666666,0.0014061756180498808
Moore's law,0.4107142857142857,0.00492815898334293,14,3,5,0.0078125,0.016211540705671528
Inbox by Gmail,0.7307692307692307,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Integrated circuit,0.7268518518518519,0.005333876525173904,27,3,5,0.018229166666666664,0.015411071035442547
Programming language,0.7868150684931506,0.037050580784089036,292,3,5,0.0703125,0.010612135823460208
Video game development,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
Event-driven programming,1.0,0.0018812709030100335,2,3,4,0.005208333333333333,0.0006651635355651566
Iteration,0.9285714285714286,0.0024894918201554357,7,3,5,0.0026041666666666665,0.0008406536144264592
Computer network programming,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
Structured document,0.3515625,0.004085448843967213,32,3,5,0.0026041666666666665,0.0011102172046883589
HTML5,0.8,0.00908492977765239,15,3,5,0.018229166666666664,0.0013527290473746637
Agile software development,0.8055555555555556,0.023381499542699077,18,3,5,0.015625,0.009677624908276063
Mobile network operator,0.5555555555555556,0.0039816465052449025,9,3,5,0.0078125,0.002708035339295382
NBC Tower,0.4,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Syntax (programming languages),0.6432584269662921,0.014429616521921231,89,3,5,0.013020833333333332,0.004660688373244455
Programmer,0.8267045454545454,0.007852864735662839,88,3,5,0.018229166666666664,0.0023531835883393174
